,,,,,,,,
,,,,Red Nacional de Acelerografos de Colombia,,,,
,,,,,,,,
Parametros de Consulta,,,,,,,,
Fecha Incial,01/06/1993,Municipio,04/01/2018,,,,,
Latitud Minima,-5,Latitud Maxima,14,,,,,
Longitud Minima,-90,Longitud Maxima,-66,,,,,
Magnitud Minima,0,Magnitud Maxima,9,,,,,
Profundidad Minima,0,Profundidad Maxima,700,,,,,
Total Registros,1834,,,,,,,
,,,,,,,,
Sismicidad Registrada,,,,,,,,
Fecha,Hora_UTC,Departamento,Municipio,Latitud(Grados),Longitud(Grados),Profunidad(Km),Magnitud(Ml),Magnitud(Mw)
1999/03/25,16:43:51,HUILA,PITALITO,1.822,-76.002,4.6,3.3,
1999/03/25,08:26:14,META,SAN JUANITO,4.623,-73.73,0,2.4,
1999/04/08,15:41:26,QUINDIO,ARMENIA,4.497,-75.684,4,3.5,
1999/04/08,14:09:35,QUINDIO,ARMENIA,4.476,-75.685,4,3.4,
1999/04/12,07:06:00,META,RESTREPO,4.301,-73.581,6,2.6,
1999/04/14,07:25:05,SANTANDER,LOS SANTOS,6.814,-73.13,156,5.7,
1999/04/19,01:21:27,SANTANDER,VILLANUEVA,6.769,-73.189,145.7,5.1,
1999/04/20,02:22:43,SANTANDER,LOS SANTOS,6.808,-73.068,157,4.6,
1999/04/30,07:00:42,SANTANDER,LOS SANTOS,6.785,-73.097,154,5,
1999/05/15,10:20:38,CUNDINAMARCA,PULI,4.669,-74.755,18.7,4.8,
1999/05/17,06:17:27,SANTANDER,LOS SANTOS,6.829,-73.121,160,5.2,
1999/05/24,20:50:52,TOLIMA,FRESNO,5.191,-75.035,17.4,2.7,
1999/06/01,21:42:14,META,EL CALVARIO,4.286,-73.747,.6,5.2,
1999/06/01,22:44:04,META,EL CALVARIO,4.326,-73.759,1,3,
1999/06/10,03:21:59,META,EL CALVARIO,4.313,-73.763,4,4.8,
1999/06/11,20:23:56,SANTANDER,LOS SANTOS,6.861,-73.042,160,3.6,
1999/06/27,04:40:47,HUILA,IQUIRA,2.575,-75.672,0,3.6,
1999/06/30,12:53:50,SANTANDER,CEPITA,6.852,-72.972,160,4.9,
1999/07/05,10:41:52,SANTANDER,LOS SANTOS,6.855,-73.133,149.5,3.5,
1999/07/05,01:41:41,CESAR,SAN MARTIN,8.054,-73.57,103.8,4.2,
1999/07/10,03:38:03,VALLE DEL CAUCA,DAGUA,3.777,-76.749,32.1,3.4,
1999/07/11,12:14:29,CESAR,BOSCONIA,9.895,-73.811,20.6,4.3,
1999/07/16,00:15:26,CUNDINAMARCA,PULI,4.688,-74.698,1.1,3.8,
1999/07/17,12:21:58,BOYACA,SATIVASUR,6.073,-72.727,2.9,5.4,
1999/07/17,02:12:59,SANTANDER,ZAPATOCA,6.795,-73.194,153.8,4.9,
1999/07/19,16:13:17,VALLE DEL CAUCA,TRUJILLO,4.253,-76.433,130,5.3,
1999/07/22,19:59:50,TOLIMA,RONCESVALLES,3.901,-75.71,4.2,3.9,
1999/07/28,20:05:06,HUILA,GUADALUPE,2.006,-75.772,2,4.2,
1999/07/31,14:47:43,CESAR,SAN MARTIN,7.887,-73.423,151.3,4.7,
1999/08/03,14:17:10,SANTANDER,CEPITA,6.794,-72.934,146.5,4.7,
1999/08/25,17:03:53,CUNDINAMARCA,CHAGUANI,4.963,-74.658,11.6,4,
1999/09/07,21:47:52,VALLE DEL CAUCA,EL CAIRO,4.759,-76.315,69.2,3,
1999/09/09,11:46:31,SANTANDER,LOS SANTOS,6.783,-73.084,155,4.9,
1999/09/20,02:28:17,BOYACA,SANTA MARIA,4.76,-73.279,7.4,4.2,
1999/09/26,21:15:26,VALLE DEL CAUCA,EL DOVIO,4.427,-76.357,80.1,4.2,
1999/10/09,12:02:53,CUNDINAMARCA,PUERTO SALGAR,5.541,-74.554,10.2,4.3,
1999/10/13,13:10:56,QUINDIO,PIJAO,4.313,-75.727,4,4.2,
1999/10/23,13:25:56,HUILA,GIGANTE,2.436,-75.539,14,3.4,
1999/10/26,22:52:16,SANTANDER,GALAN,6.725,-73.298,145.9,5,
1999/10/30,18:42:40,BOYACA,SAN EDUARDO,5.193,-73.048,4,4.2,
1999/11/02,15:18:16,SANTANDER,VILLANUEVA,6.747,-73.223,154.1,4.6,
1999/11/08,05:51:20,SANTANDER,ZAPATOCA,6.866,-73.185,164.2,6.2,
